user_id,account_id,transaction_id,posted_date,amount,merchant,description,user_category,is_planted_anomaly
u000000,u000000-chk,u000000-000000,2024-09-01,2456.64,Bluepeak Labs Payroll,BLUEPEAK LABS PAYROLL DIRECT DEP,,false
u000000,u000000-chk,u000000-000001,2024-09-01,-1386.56,Riverside Apartments,RIVERSIDE APARTMENTS RENT,,false
u000000,u000000-crd,u000000-000002,2024-09-01,-30.33,Sprout Salads,SPROUT SALADS CARD PURCHASE,,false
u000000,u000000-crd,u000000-000003,2024-09-02,-11.99,Readly Books,READLY BOOKS RECURRING,,false
u000000,u000000-crd,u000000-000004,2024-09-06,-77.55,Greenleaf Market,GREENLEAF MARKET CARD PURCHASE,,false
u000000,u000000-crd,u000000-000005,2024-09-09,-30.28,Luna Noodle Bar,LUNA NOODLE BAR CARD PURCHASE,,false
u000000,u000000-crd,u000000-000006,2024-09-10,-5.99,Podnest Premium,PODNEST PREMIUM RECURRING,,false
u000000,u000000-crd,u000000-000007,2024-09-11,-10.99,Tunewave,TUNEWAVE RECURRING,,false
u000000,u000000-crd,u000000-000008,2024-09-13,-128.65,Harvest Grocer,HARVEST GROCER CARD PURCHASE,,false
u000000,u000000-crd,u000000-000009,2024-09-14,-41.83,Sprout Salads,SPROUT SALADS CARD PURCHASE,,false
u000000,u000000-chk,u000000-000010,2024-09-15,2456.64,Bluepeak Labs Payroll,BLUEPEAK LABS PAYROLL DIRECT DEP,,false
u000000,u000000-crd,u000000-000011,2024-09-17,-35.84,Ember Pizza,EMBER PIZZA CARD PURCHASE,,false
u000000,u000000-crd,u000000-000012,2024-09-18,-2.99,CloudVault,CLOUDVAULT RECURRING,,false
u000000,u000000-crd,u000000-000013,2024-09-18,-41.82,Sprout Salads,SPROUT SALADS CARD PURCHASE,,false
u000000,u000000-crd,u000000-000014,2024-09-19,-40.45,Luna Noodle Bar,LUNA NOODLE BAR CARD PURCHASE,,false
u000000,u000000-crd,u000000-000015,2024-09-20,-117.04,Greenleaf Market,GREENLEAF MARKET CARD PURCHASE,,false
u000000,u000000-chk,u000000-000016,2024-09-21,-689.80,Harbor Bank,TRANSFER TO SAVINGS,,false
u000000,u000000-crd,u000000-000017,2024-09-21,-39.00,FitHub Gym,FITHUB GYM RECURRING,,false
u000000,u000000-sav,u000000-000018,2024-09-21,689.80,Harbor Bank,TRANSFER FROM CHECKING,,false
